Location_ID,Site_Name,Address,City,Zip,County,Start Date,Status,Ash_Use,Estimated Volume of Coal Ash Applied (Tons),estCuYd,Latitude,Longitude,x,y
CCB0003,Roxboro Power Plant,1700 Dunnaway Road,Semora,27343,Person,"11/1/2008, 12:00 AM",Closed,Structural Fill,"109,432.50","131,319.90",36.484451,-79.059001,-8800807.734,4367487.474
CCB0011,Cherry Point Impact Berm,Rifle Range Road,Cherry Point,28533,Craven,"3/15/2009, 12:00 AM",Closed,Structural Fill,"13,333.33","16,000.00",34.915833,-76.871941,-8557345.328,4152449.059
CCB0013,Boogle Bay Raceway,9446 Chickapee Dr.,Fayetteville,28311,Cumberland,"8/22/1990, 12:00 AM",Closed,Structural Fill,pre 1/4/1994,87347.4974,35.235241,-78.825801,-8774848.029,4195895.587
CCB0014,Boogle Bay Phase II,9446 Chickapee Dr.,Fayetteville,28311,Cumberland,"5/20/1992, 12:00 AM",Closed,Structural Fill,pre 1/4/1994,87347.4974,35.236091,-78.829483,-8775257.907,4196011.433
CCB0015,Crowell Constructors - Coal Ash Utilization,6030 Murchison Rd,Fayetteville,28311,Cumberland,,Closed,Structural Fill,"41,666.67","50,000.00",35.122501,-78.932071,-8786677.951,4180541.027
CCB0016,Crowell Constructors - Coal Ash Utilization,6030 Murchison Rd,Fayetteville,28311,Cumberland,"3/17/1992, 12:00 AM",Closed,Structural Fill,pre 1/4/1994,87347.4974,35.122501,-78.932071,-8786677.951,4180541.027
CCB0017,Crowell Constructors - Coal Ash Utilization,6030 Murchison Rd,Fayetteville,28311,Cumberland,"2/27/1998, 12:00 AM",Closed,Structural Fill,"11,250.00","13,500.00",35.122501,-78.932071,-8786677.951,4180541.027
CCB0018,NorthSide Mine,10905 Ramsey St,Linden,28356,Cumberland,"6/25/2001, 12:00 AM",Closed,Structural Fill,"55,515.00","66,618.00",35.260501,-78.788181,-8770660.189,4199338.782
CCB0019,Fountain Industrial Park,4001 College Rd,Battleboro,27809,Edgecombe,"6/15/1989, 12:00 AM",Closed,Structural Fill,166.67,200,35.998801,-77.768651,-8657166.629,4300456.393
CCB0022,JS Turner Sawmill Structural Fill Project; Turner Lumber Drying Yard,Mulberry Street,Weldon,27890,Halifax,,Closed,Structural Fill,"754,365.00","905,238.00",36.421941,-77.604191,-8638859.026,4358836.207
